bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1161;2021-06-11 14:46:00;2021-06-11 15:42:00;56.0;200;37.8723005,32.4941582;37.861671447753906,32.445308685302734;4.447981192;37.8723005;32.4941582;37.861671447753906;32.445308685302734
1241;2021-06-11 14:20:00;2021-06-11 15:15:00;55.0;200;37.94606018034737,32.50158937179584;37.94792175292969,32.46171951293945;3.502155001;37.94606018034737;32.50158937179584;37.94792175292969;32.46171951293945
1129;2021-06-11 14:20:00;2021-06-11 15:08:00;48.0;200;37.94609824199038,32.5016114954208;37.94797897338867,32.46175003051758;3.501544582;37.94609824199038;32.5016114954208;37.94797897338867;32.46175003051758
1038;2021-06-11 14:17:00;2021-06-11 16:38:00;141.0;500;37.948493,32.5213384;37.94746017456055,32.52219009399414;0.136991139;37.948493;32.5213384;37.94746017456055;32.52219009399414
1276;2021-06-11 14:05:00;2021-06-11 16:02:00;117.0;350;37.9474173,32.522075;37.94744110107422,32.522220611572266;0.013039439;37.9474173;32.522075;37.94744110107422;32.522220611572266
1110;2021-06-11 13:51:00;2021-06-11 14:17:00;26.0;200;37.8740652,32.489635;37.904380798339844,32.49544906616211;3.409334108;37.8740652;32.489635;37.904380798339844;32.49544906616211
1287;2021-06-11 13:49:00;2021-06-11 14:21:00;32.0;200;37.8739857,32.4896391;999,999;14562.55079;37.8739857;32.4896391;999.0;999.0
1224;2021-06-11 13:48:00;2021-06-11 14:30:00;42.0;200;37.866687253152826,32.42463461126427;37.86684036254883,32.424461364746094;0.022828271;37.866687253152826;32.42463461126427;37.86684036254883;32.424461364746094
1286;2021-06-11 13:47:00;2021-06-11 14:29:00;42.0;200;37.866743,32.4245552;37.866798400878906,32.424591064453125;0.006918143;37.866743;32.4245552;37.866798400878906;32.424591064453125
1291;2021-06-11 13:43:00;2021-06-11 16:36:00;173.0;500;37.9473959,32.5220727;37.947410583496094,32.52217102050781;0.008774537;37.9473959;32.5220727;37.947410583496094;32.52217102050781
1036;2021-06-11 13:43:00;2021-06-11 16:38:00;175.0;500;37.9473336,32.5220902;37.947330474853516,32.52214050292969;0.004424515;37.9473336;32.5220902;37.947330474853516;32.52214050292969
1272;2021-06-11 13:42:00;2021-06-11 16:37:00;175.0;500;37.947445333870704,32.52211664398226;37.94744110107422,32.52206039428711;0.004954692;37.947445333870704;32.52211664398226;37.94744110107422;32.52206039428711
1314;2021-06-11 13:40:00;2021-06-11 13:53:00;13.0;200;37.89551439048589,32.50610236212997;37.90428924560547,32.495460510253906;1.35051805;37.89551439048589;32.50610236212997;37.90428924560547;32.495460510253906
1285;2021-06-11 13:36:00;2021-06-11 14:52:00;76.0;350;38.0225771,32.512511;37.97904968261719,32.517208099365234;4.85749518;38.0225771;32.512511;37.97904968261719;32.517208099365234
1242;2021-06-11 13:29:00;2021-06-11 14:47:00;78.0;350;38.02264086893227,32.51248186123045;37.97916030883789,32.51715087890625;4.852095518;38.02264086893227;32.51248186123045;37.97916030883789;32.51715087890625
1095;2021-06-11 13:28:00;2021-06-11 14:53:00;85.0;350;38.02260932506988,32.51253204822612;37.9792594909668,32.51708984375;4.836796944;38.02260932506988;32.51253204822612;37.9792594909668;32.51708984375
1224;2021-06-11 13:24:00;2021-06-11 13:32:00;8.0;50;37.86699312914538,32.42444758622536;37.86677169799805,32.42472839355469;0.034840387;37.86699312914538;32.42444758622536;37.86677169799805;32.42472839355469
1153;2021-06-11 13:21:00;2021-06-11 13:47:00;26.0;200;37.8644283,32.4536427;37.874088287353516,32.48957824707031;3.33224913;37.8644283;32.4536427;37.874088287353516;32.48957824707031
1287;2021-06-11 13:16:00;2021-06-11 13:44:00;28.0;200;37.8644207,32.4536157;37.874019622802734,32.489681243896484;3.34087907;37.8644207;32.4536157;37.874019622802734;32.489681243896484
1296;2021-06-11 13:04:00;2021-06-11 14:11:00;67.0;200;38.0224725,32.5124818;38.01987838745117,32.515411376953125;0.386083298;38.0224725;32.5124818;38.01987838745117;32.515411376953125
1207;2021-06-11 13:03:00;2021-06-11 14:11:00;68.0;200;38.02255145083582,32.51253436106365;38.01980972290039,32.51544189453125;0.397255274;38.02255145083582;32.51253436106365;38.01980972290039;32.51544189453125
1125;2021-06-11 12:55:00;2021-06-11 15:32:00;157.0;500;37.8691663,32.4865663;37.870399475097656,32.48617172241211;0.141429381;37.8691663;32.4865663;37.870399475097656;32.48617172241211
1067;2021-06-11 12:53:00;2021-06-11 14:36:00;103.0;350;37.95760941518621,32.560681419202815;37.9575309753418,32.560699462890625;0.008864413;37.95760941518621;32.560681419202815;37.9575309753418;32.560699462890625
1241;2021-06-11 12:45:00;2021-06-11 13:33:00;48.0;200;37.946056081017424,32.5015684124385;37.94626998901367,32.50162887573242;0.02436922;37.946056081017424;32.5015684124385;37.94626998901367;32.50162887573242
1299;2021-06-11 12:39:00;2021-06-11 15:30:00;171.0;500;37.8703572,32.4861589;37.87051010131836,32.48622131347656;0.017862721;37.8703572;32.4861589;37.87051010131836;32.48622131347656
1167;2021-06-11 12:35:00;2021-06-11 12:58:00;23.0;200;37.87206,32.4991286;37.875091552734375,32.48517990112305;1.26988625;37.87206;32.4991286;37.875091552734375;32.48517990112305
1060;2021-06-11 11:50:00;2021-06-11 13:28:00;98.0;350;38.009583,32.522563;37.874019622802734,32.48957061767578;15.34909537;38.009583;32.522563;37.874019622802734;32.48957061767578
1163;2021-06-11 11:37:00;2021-06-11 11:51:00;14.0;200;37.8527264,32.4885134;37.869178771972656,32.486610412597656;1.837032364;37.8527264;32.4885134;37.869178771972656;32.486610412597656
1157;2021-06-11 10:54:00;2021-06-11 14:28:00;214.0;650;37.9388135,32.5116613;37.92900848388672,32.50965881347656;1.104322109;37.9388135;32.5116613;37.92900848388672;32.50965881347656
1206;2021-06-11 10:28:00;2021-06-11 11:51:00;83.0;350;37.8672816,32.4843206;37.869178771972656,32.486610412597656;0.291381705;37.8672816;32.4843206;37.869178771972656;32.486610412597656
1282;2021-06-11 10:24:00;2021-06-11 10:27:00;3.0;50;37.8691814,32.4866378;37.86717987060547,32.484169006347656;0.310638886;37.8691814;32.4866378;37.86717987060547;32.484169006347656
1060;2021-06-11 09:11:00;2021-06-11 10:12:00;61.0;200;38.0138035098733,32.52118326001858;38.00947189331055,32.52248001098633;0.49487059;38.0138035098733;32.52118326001858;38.00947189331055;32.52248001098633
1133;2021-06-11 08:11:00;2021-06-11 08:23:00;12.0;200;37.88434503137868,32.45780113156182;37.87757873535156,32.483131408691406;2.346972529;37.88434503137868;32.45780113156182;37.87757873535156;32.483131408691406
